documento,idCandidato,ipMesa,puerto
25038593,1,x206m03,10017
959075508,3,x206m03,10019
197206806,2,x206m03,10021
760110664,3,x206m03,10023
138097826,3,x206m03,10025
954278382,3,x206m03,10027
422036203,1,x206m03,10029
789086756,1,x206m03,10031
102288391,3,x206m03,10017
279078071,3,x206m03,10019
421000694,3,x206m03,10021
364296269,2,x206m03,10023
208893767,3,x206m03,10025
996200985,3,x206m03,10027
345433055,1,x206m03,10029
985004262,2,x206m03,10031
151271337,3,x206m03,10017
848034913,3,x206m03,10019
976277865,2,x206m03,10021
594653061,1,x206m03,10023
231188849,2,x206m03,10025
564353787,2,x206m03,10027
372524504,2,x206m03,10029
596369649,2,x206m03,10031
884188093,2,x206m03,10017
673759820,1,x206m03,10019
327733491,2,x206m03,10021
811337977,2,x206m03,10023
45717929,2,x206m03,10025
103461689,1,x206m03,10027
724536207,1,x206m03,10029
176853648,2,x206m03,10031
28793639,1,x206m03,10017
949279860,1,x206m03,10019
750399336,1,x206m03,10021
243382347,2,x206m03,10023
885864204,2,x206m03,10025
260581651,1,x206m03,10027
545292431,2,x206m03,10029
770752807,3,x206m03,10031
630457289,3,x206m03,10017
276921669,3,x206m03,10019
989967424,3,x206m03,10021
681417653,3,x206m03,10023
711681467,2,x206m03,10025
677105875,3,x206m03,10027
647787191,3,x206m03,10029
181565540,1,x206m03,10031
125928246,3,x206m03,10017
751133600,3,x206m03,10019
880607953,2,x206m03,10021
153629527,2,x206m03,10023
764556594,1,x206m03,10025
313256569,3,x206m03,10027
954682493,2,x206m03,10029
525657550,2,x206m03,10031
848278441,3,x206m03,10017
734208476,1,x206m03,10019
516147541,1,x206m03,10021
631273423,3,x206m03,10023
489825033,3,x206m03,10025
686888628,2,x206m03,10027
721980689,1,x206m03,10029
84992446,1,x206m03,10031
967638483,2,x206m03,10017
799926073,1,x206m03,10019
638393012,1,x206m03,10021
942822720,3,x206m03,10023
149437923,3,x206m03,10025
706729881,3,x206m03,10027
424008940,3,x206m03,10029
261239994,1,x206m03,10031
517504878,1,x206m03,10017
734208476,3,x206m03,10019
705671621,3,x206m03,10021
506278235,3,x206m03,10023
199629182,2,x206m03,10025
679434262,1,x206m03,10027
540012865,3,x206m03,10029
456963588,2,x206m03,10031
176950251,2,x206m03,10017
665941374,1,x206m03,10019
902009245,2,x206m03,10021
606828725,1,x206m03,10023
802292752,3,x206m03,10025
138119997,3,x206m03,10027
160248686,2,x206m03,10029
879097915,2,x206m03,10031
618637368,1,x206m03,10017
162597519,2,x206m03,10019
218632605,3,x206m03,10021
67013087,1,x206m03,10023
491849957,1,x206m03,10025
475134009,1,x206m03,10027
806917796,1,x206m03,10029
777649195,3,x206m03,10031
657599375,1,x206m03,10017
145086470,3,x206m03,10019
923296041,3,x206m03,10021
997370512,1,x206m03,10023
694360670,3,x206m03,10025
104700659,2,x206m03,10027
217288104,2,x206m03,10029
176487899,1,x206m03,10031
873989931,1,x206m03,10017
347441316,1,x206m03,10019
399814445,3,x206m03,10021
925300326,3,x206m03,10023
826322399,2,x206m03,10025
528515206,2,x206m03,10027
847739249,2,x206m03,10029
676361622,3,x206m03,10031
733789034,3,x206m03,10017
645541752,2,x206m03,10019
496564015,1,x206m03,10021
221761053,2,x206m03,10023
391493370,3,x206m03,10025
477607375,3,x206m03,10027
694581521,3,x206m03,10029
815544514,1,x206m03,10031
325352016,3,x206m03,10017
603241851,2,x206m03,10019
305172430,2,x206m03,10021
389026686,2,x206m03,10023
723152825,3,x206m03,10025
320265672,3,x206m03,10027
822988271,2,x206m03,10029
969972092,1,x206m03,10031
606707046,2,x206m03,10017
834748191,2,x206m03,10019
233274719,1,x206m03,10021
280958324,3,x206m03,10023
945211811,3,x206m03,10025
45717929,3,x206m03,10027
754078112,2,x206m03,10029
850513956,3,x206m03,10031
338494393,3,x206m03,10017
219610702,1,x206m03,10019
436850118,1,x206m03,10021
124926306,2,x206m03,10023
83459907,2,x206m03,10025
289635739,2,x206m03,10027
679434262,1,x206m03,10029
337283262,1,x206m03,10031
133509248,1,x206m03,10017
885276511,1,x206m03,10019
267460149,2,x206m03,10021
